編號,用人機關類別 / 名稱,地點,職缺數
250,非營利組織 / 社團法人屏東縣原住民部落文化藝術發展協會,社團法人屏東縣原住民部落文化藝術發展協會,1 
251,非營利組織 / 社團法人屏東縣愛整體美學發展協會,社團法人屏東縣愛整體美學發展協會,1 
252,非營利組織 / 社團法人屏東縣聚落文教協會,社團法人屏東縣聚落文教協會,1 
253,非營利組織 / 社團法人高雄市長青服務協會,社團法人高雄市長青服務協會,5 
254,政府部門 / 屏東縣三地門鄉公所,三地門鄉公所,1 
255,非營利組織 / 屏東縣三地門鄉瓦駱露文化關懷協會,屏東縣三地門鄉瓦駱嘉文化關懷協會,1 
256,非營利組織 / 屏東縣三地門鄉安坡社區發展協會,屏東縣三地門鄉安坡社區發展協會,1 
257,文化健康站 / 屏東縣三地門鄉青山社區發展協會,屏東縣三地門鄉青山社區發展協會,1 
258,文化健康站 / 屏東縣三地門鄉馬兒社區發展協會,屏東縣三地門鄉馬兒社區發展協會,1 
259,文化健康站 / 屏東縣三地門鄉達瓦達旺部落人文關懷協會,屏東縣三地門鄉達瓦達旺部落人文關懷協會,- 
260,政府部門 / 屏東縣三地門鄉衛生所,三地門鄉衛生所,1 
261,非營利組織 / 屏東縣三地門鄉親子教育協會,屏東縣三地門鄉親子教育協會,1 
262,文化健康站 / 屏東縣三地門鄉賽嘉社區發展協會,屏東縣三地門鄉賽嘉社區發展協會,1 
263,原住民族機構 / 屏東縣大武山山林教育服務中心(樂山樂水),屏東縣大武山山林教育服務中心,3 
264,公立學校 / 屏東縣立來義高級中學,來義高級中學,1 
265,原住民族機構 / 屏東縣吉羅夫敢文教協會,屏東縣吉羅夫敢文教協會,1 
266,原住民族機構 / 屏東縣沙拉灣文化藝術發展協會,屏東縣沙拉灣文化藝術發展協會,5 
267,政府部門 / 屏東縣牡丹鄉公所,牡丹鄉公所,1 
268,文化健康站 / 屏東縣牡丹鄉牡丹社區發展協會,屏東縣牡丹鄉牡丹社區發展協會,1 
269,文化健康站 / 屏東縣牡丹鄉高士社區發展協會,屏東縣牡丹鄉高士社區發展協會,1 
270,文化健康站 / 屏東縣來義鄉大後社區發展協會,屏東縣來義鄉大後社區發展協會,5 
271,文化健康站 / 屏東縣來義鄉丹林社區發展協會,屏東縣來義鄉丹林社區發展協會,1 
272,政府部門 / 屏東縣來義鄉公所,來義鄉公所,- 
273,文化健康站 / 屏東縣來義鄉文樂社區發展協會,屏東縣來義鄉文樂社區發展協會,1 
274,文化健康站 / 屏東縣來義鄉古樓社區發展協會,屏東縣來義鄉古樓社區發展協會,- 
275,文化健康站 / 屏東縣來義鄉望喜社區發展協會,屏東縣來義鄉望嘉社區發展協會,1 
276,文化健康站 / 屏東縣來義鄉部落發展協會,屏東縣來義鄉部落發展協會,1 
277,非營利組織 / 屏東縣來義鄉喜樂發發吾社區發展協會,屏東縣來義鄉喜樂發發吾社區發展協會,- 
278,文化健康站 / 屏東縣來義鄉新來義社區發展協會,屏東縣來義鄉新來義社區發展協會,1 
279,非營利組織 / 屏東縣來義鄉新來義部落發展協會,屏東縣來義鄉新來義部落發展協會,- 
280,文化健康站 / 屏東縣來義鄉義林社區發展協會,屏東縣來義鄉義林社區發展協會,- 
281,非營利組織 / 屏東縣來義鄉嘉魯禮發魯飛禮飛家團傳承文化發展協會,屏東縣來義鄉嘉魯禮發魯飛禮飛家團傳承文化發展協會,1 
282,政府部門 / 屏東縣政府,原住民處、原民館、就業服務據點,5 
283,文化健康站 / 屏東縣春日鄉七佳社區發展協會,屏東縣春日鄉七佳社區發展協會,- 
284,原住民族機構 / 屏東縣春日鄉力里社區發展協會,屏東縣春日鄉力里社區發展協會,1 
285,文化健康站 / 屏東縣春日鄉士文社區發展協會,屏東縣春日鄉士文社區發展協會,1 
286,政府部門 / 屏東縣春日鄉公所,春日鄉公所,5 
287,文化健康站 / 屏東縣春日鄉古華社區發展協會,屏東縣春日鄉古華社區發展協會,1 
288,非營利組織 / 屏東縣春日鄉佳崇全人關懷協會,屏東縣春日鄉佳崇全人關懷協會,- 
289,非營利組織 / 屏東縣春日鄉春日社區發展協會,屏東縣春日鄉春日社區發展協會,- 
290,非營利組織 / 屏東縣春日鄉歸榮社區發展協會,屏東縣春日鄉歸榮社區發展協會,1 
291,非營利組織 / 屏東縣原住民族文化教育協會,屏東縣原住民族文化教育協會,1 
292,原住民族機構 / 屏東縣原住民新希望全人關懷協會,屏東縣原住民新希望全人關懷協會,1 
293,非營利組織 / 屏東縣原住民新潮流文化產業發展協會,屏東縣原住民新潮流文化產業發展協會,1 
294,非營利組織 / 屏東縣原鄉藝文產業聯盟推廣協會,屏東縣原鄉藝文產業聯盟推廣協會,- 
295,政府部門 / 屏東縣泰武鄉公所,泰武鄉公所,5 
296,文化健康站 / 屏東縣泰武鄉平和社區發展協會,屏東縣泰武鄉平和社區發展協會,1 
297,非營利組織 / 屏東縣泰武鄉武潭社區發展協會,屏東縣泰武鄉武潭社區發展協會,2 
298,文化健康站 / 屏東縣泰武鄉馬仕部落文化協會,屏東縣泰武鄉馬仕部落文化協會,1 
299,非營利組織 / 屏東縣海山社區經營發展協會,屏東縣海山社區經營發展協會,1 
300,非營利組織 / 屏東縣馬卡巴嗨文化協會,屏東縣馬卡巴嗨文化協會,- 
301,文化健康站 / 屏東縣獅子鄉中心崙社區發展協會,屏東縣獅子鄉中心崙社區發展協會,1 
302,政府部門 / 屏東縣獅子鄉公所,獅子鄉公所,- 
303,文化健康站 / 屏東縣獅子鄉竹坑社區發展協會,屏東縣獅子鄉竹坑社區發展協會,5 
304,文化健康站 / 屏東縣獅子鄉楓林社區發展協會,屏東縣獅子鄉楓林社區發展協會,1 
305,政府部門 / 屏東縣滿州鄉公所,滿州鄉公所,3 
306,原住民族機構 / 屏東縣瑪家鄉三和社區發展協會,屏東縣瑪家鄉三和社區發展協會,1 
307,政府部門 / 屏東縣瑪家鄉公所,瑪家鄉公所,5 
308,文化健康站 / 屏東縣瑪家鄉北葉社區發展協會,屏東縣瑪家鄉北葉社區發展協會,- 
309,公立學校 / 屏東縣瑪家鄉佳義國民小學,佳義國民小學,- 
310,公立學校 / 屏東縣瑪家鄉佳義國民小學附設幼兒園,佳義國民小學附設幼兒園,- 
311,非營利組織 / 屏東縣瑪家鄉美園社區發展協會,屏東縣瑪家鄉美園社區發展協會,- 
